"assay_id","n_compounds","dataset_role","document_id","year","assay_summary","source_id"
"CHEMBL4828020","8","primary","CHEMBL4825747","2021","CHO; calcium FLIPR assay","S36"
"CHEMBL1118226","7","primary","CHEMBL1155439","2010","CHO; cinnamaldehyde-induced calcium influx","S34"
"CHEMBL3791636","7","primary","CHEMBL3784976","2016","CHO T-REx; AITC; 45Ca uptake","S12"
"CHEMBL5096638","6","excluded","CHEMBL5096151","2021","Desensitization assay; isothiocyanate","S37"
"CHEMBL5126028","6","primary","CHEMBL5120955","2022","HEK293; AITC; FLIPR","S38"
"CHEMBL5142855","6","primary","CHEMBL5137102","2022","HEK293; AITC; FLIPR Tetra","S39"
"CHEMBL5621665","6","primary","CHEMBL5620371","2023","TRPA1 inhibition; sparse context","S40"
"CHEMBL5732578","6","excluded","CHEMBL5726382","2017","AITC FLIPR; excluded due to duplicate evidence","S41"
"CHEMBL1118227","5","sensitivity","CHEMBL1155439","2010","Generic TRPA1 antagonist activity","S34"
"CHEMBL5737447","5","sensitivity","CHEMBL5728782","2021","Whole-cell electrophysiology; EPC-9/EPC-10","S42"
"CHEMBL1118500","4","primary","CHEMBL1155439","2010","AITC-induced currents","S34"
"CHEMBL1118501","4","primary","CHEMBL1155439","2010","Noxious-cold activation","S34"
"CHEMBL5708945","4","primary","CHEMBL5705895","2012","HEK293F; mustard oil 30 uM; FLIPR","S43"
"CHEMBL4190624","3","excluded","CHEMBL4190175","2016","oS5 chimera","S19"
"CHEMBL5096639","3","excluded","CHEMBL5096151","2021","Desensitization assay; icilin","S37"
"CHEMBL5680872","3","primary","CHEMBL5678803","2011","HEK293F; AITC; FLIPR","S44"
"CHEMBL1049520","2","primary","CHEMBL1153159","2010","HEK293; 45Ca influx","S45"
"CHEMBL1118734","2","primary","CHEMBL1155439","2010","4-HNE-induced response","S34"
"CHEMBL2422134","2","primary","CHEMBL2417435","2013","TRPA1 FLIPR assay; sparse context","S46"
"CHEMBL3299560","2","primary","CHEMBL3297713","2014","CHO-TREX; AITC; FLIPR","S09"
"CHEMBL3299561","2","primary","CHEMBL3297713","2014","CHO-TREX; dibenzoxazepine agonist","S09"
"CHEMBL4022626","2","primary","CHEMBL4020807","2017","TRPA1 inhibition; sparse context","S47"
"CHEMBL4036824","2","primary","CHEMBL4033760","2017","Calcium-flux FLIPR assay","S14"
"CHEMBL4347272","2","primary","CHEMBL4346663","2019","HEK293; AITC 5 uM","S27"
"CHEMBL5577360","2","primary","CHEMBL5576088","2024","HEK293; AITC 10 uM; Fluo-4 AM","S29"
"CHEMBL5680929","2","primary","CHEMBL5678803","2011","TRPA1 antagonist assay; sparse context","S44"
"CHEMBL5680930","2","excluded","CHEMBL5678803","2011","HEK293; AITC","S44"
"CHEMBL1118233","1","primary","CHEMBL1155439","2010","URB597-induced calcium influx","S34"
"CHEMBL1118234","1","primary","CHEMBL1155439","2010","Nifedipine-induced calcium influx","S34"
"CHEMBL1118735","1","primary","CHEMBL1155439","2010","Cinnamaldehyde-induced response","S34"
"CHEMBL1118736","1","primary","CHEMBL1155439","2010","Trinitrophenol-induced response","S34"
"CHEMBL1118737","1","primary","CHEMBL1155439","2010","Hypertonic 400 mOsm response","S34"
"CHEMBL1118738","1","primary","CHEMBL1155439","2010","Formalin-induced calcium influx","S34"
"CHEMBL1118739","1","primary","CHEMBL1155439","2010","HEK293; cinnamaldehyde; FLIPR","S34"
"CHEMBL1118740","1","primary","CHEMBL1155439","2010","HEK293; AITC; FLIPR","S34"
"CHEMBL1949463","1","excluded","CHEMBL1944607","2012","CHO calcium assay","S25"
"CHEMBL2328091","1","excluded","CHEMBL2321869","2013","HEK293; FLIPR","S48"
"CHEMBL2433975","1","primary","CHEMBL2429801","2013","Mustard-oil-activated current","S49"
"CHEMBL3299550","1","primary","CHEMBL3297713","2014","Generic TRPA1 antagonist assay","S09"
"CHEMBL3757748","1","primary","CHEMBL3751759","2016","HEK293; AITC calcium assay","S50"
"CHEMBL4022611","1","primary","CHEMBL4020807","2017","HEK293; AITC; Fluo-4","S47"
"CHEMBL4022625","1","primary","CHEMBL4020807","2017","Whole-cell patch clamp; AITC","S47"
"CHEMBL4036817","1","excluded","CHEMBL4033760","2017","oS5 chimera; PatchXpress","S14"
"CHEMBL4190621","1","excluded","CHEMBL4190175","2016","oS5 chimera; PatchXpress","S19"
"CHEMBL4190628","1","primary","CHEMBL4190175","2016","Human TRPA1 electrophysiology","S19"
"CHEMBL4347295","1","excluded","CHEMBL4346663","2019","HEK293F; AITC 30 uM","S27"
"CHEMBL4347296","1","excluded","CHEMBL4346663","2019","CHO; cinnamaldehyde 50 uM","S27"
"CHEMBL4880071","1","primary","CHEMBL4507256","2021","FLIPR-based Ca2+ assay","S51"
"CHEMBL4880072","1","primary","CHEMBL4507256","2021","Electrophysiology; AITC 100 uM","S51"
"CHEMBL4885651","1","primary","CHEMBL4507328","2021","FLIPR Ca2+ assay","S52"
"CHEMBL4885657","1","primary","CHEMBL4507328","2021","Human TRPA1 electrophysiology","S52"
"CHEMBL5210282","1","primary","CHEMBL5210121","2023","HEK293F electrophysiology; AITC 100 uM","S53"
"CHEMBL5210580","1","primary","CHEMBL5210307","2023","FLIPR Ca2+ assay; ChEMBL says AITC 30 uM","S54"
"CHEMBL5577372","1","primary","CHEMBL5576088","2024","HEK293; AITC; Fluo-4 AM","S29"
"CHEMBL5577382","1","excluded","CHEMBL5576088","2024","Generic human TRPA1 activity","S29"
"CHEMBL5680880","1","primary","CHEMBL5678803","2011","GFP-human TRPA1 HEK293F; AITC; -60 mV","S44"
"CHEMBL6104158","1","primary","CHEMBL6103546","2025","T-REx-293; AITC; patch clamp","S55"
"CHEMBL6104159","1","primary","CHEMBL6103546","2025","CHO human TRPA1; AITC fluorescence","S55"
